microbe,disease,effect,pmid,evidence,SCD,evidence_record_count
Ammoniphilus spp.,diet-induced obesity,decrease,27569192,Increased in control males,,1
Bacillus spp.,diet-induced obesity,decrease,27569192,Increased in control males,,1
Propionibacterium acnes,diet-induced obesity,decrease,27569192,Increased in control males,,1
Rikenellaceae,diet-induced obesity,increase,27569192,More abundant in fecal samples from high-fat diet males,,1
Bacteroides ovatus,diet-induced obesity,decrease,27569192,Greater in control males,,1
Bacteroides spp.,diet-induced obesity,decrease,27569192,Greater in control males,,1
Bilophila,diet-induced obesity,decrease,27569192,Greater in control males,,1
Sutterella spp.,diet-induced obesity,decrease,27569192,Greater in control males,,1
Parabacteroides,diet-induced obesity,decrease,27569192,Greater in control males,,1
Bifidobacterium longum,diet-induced obesity,decrease,27569192,Greater in control males,,1
Akkermansia muciniphila,diet-induced obesity,decrease,27569192,Greater in control males,,1
Desulfovibrio spp.,diet-induced obesity,decrease,27569192,Greater in control males,,1
Bacteroidetes,Parkinson's disease,decrease,27591074,The bacterial phylum Bacteroidetes was reduced in PD patients compared to controls,"Short chain fatty acids (SCFA) were significantly reduced in PD patients, which might contribute to gastrointestinal dysmotility in PD",1
Verrucomicrobia,obesity,increase,27599699,"HFBS diet showed strong inhibition of Verrucomicrobia, which is strongly correlated with body weight",,1
Bacteroidetes,Hirschsprungs disease,decrease,27603009,Prevalence in HD patients suggests a protective role against enterocolitis,HAEC remission is characterized by resolution of clinical symptoms of inflammation and by a return of circulating levels of inflammatory factors to the normal range,1
Proteobacteria,Hirschsprungs associated enterocolitis,increase,27603009,Prevalence in HAEC patients suggests a pathogenic role in enterocolitis,HAEC remission is characterized by resolution of clinical symptoms of inflammation and by a return of circulating levels of inflammatory factors to the normal range,1
Clostridium difficile,Hirschsprungs associated enterocolitis,increase,27603009,Associated with enterocolitis development in HD patients,HAEC remission is characterized by resolution of clinical symptoms of inflammation and by a return of circulating levels of inflammatory factors to the normal range,1
Bifidobacterium bifidum,ulcerative colitis,decrease,27604252,Oral treatment with B. bifidum PRL2010 in a murine colitis model showed a marked reduction of colitis-associated histological indices and maintenance of mucosal integrity.,"B. bifidum PRL2010 appears to establish its protective role through the induction of an innate immune response of the host, involving tight-junction encoding genes.",1
Oribacterium,liver carcinoma,increase,27605161,Oribacterium could distinguish LC patients from healthy subjects,,1
Fusobacterium,liver carcinoma,increase,27605161,Fusobacterium could distinguish LC patients from healthy subjects,,1
Lachnospira,asthma,decrease,27634868,Decreased abundance in asthmatics at 3 months of age,,1
Clostridium neonatale,asthma,increase,27634868,Increased abundance in asthmatics at 3 months of age,,1
Firmicutes,end stage renal disease,decrease,27640125,Relative abundance of Firmicutes was decreased in peritoneal dialysis patients compared to controls,Uremic toxins such as p-cresyl sulfate and indoxyl sulfate are associated with increased systemic inflammation and cardiovascular disease in end stage renal disease patients. These toxins are produced by altered intestinal microbiota and poorly cleared by dialysis.,1
Actinobacteria,end stage renal disease,decrease,27640125,Relative abundance of Actinobacteria was decreased in peritoneal dialysis patients compared to controls,Uremic toxins such as p-cresyl sulfate and indoxyl sulfate are associated with increased systemic inflammation and cardiovascular disease in end stage renal disease patients. These toxins are produced by altered intestinal microbiota and poorly cleared by dialysis.,1
Bacteroidetes,end stage renal disease,increase,27640125,Relative abundance of Bacteroidetes was increased in hemodialysis patients compared to controls,Uremic toxins such as p-cresyl sulfate and indoxyl sulfate are associated with increased systemic inflammation and cardiovascular disease in end stage renal disease patients. These toxins are produced by altered intestinal microbiota and poorly cleared by dialysis.,1
Proteobacteria,end stage renal disease,increase,27640125,Relative abundance of Proteobacteria was increased in peritoneal dialysis patients compared to hemodialysis patients,Uremic toxins such as p-cresyl sulfate and indoxyl sulfate are associated with increased systemic inflammation and cardiovascular disease in end stage renal disease patients. These toxins are produced by altered intestinal microbiota and poorly cleared by dialysis.,1
Enterobacteriaceae,end stage renal disease,increase,27640125,Enterobacteriaceae was significantly increased in peritoneal dialysis patients compared to controls,Uremic toxins such as p-cresyl sulfate and indoxyl sulfate are associated with increased systemic inflammation and cardiovascular disease in end stage renal disease patients. These toxins are produced by altered intestinal microbiota and poorly cleared by dialysis.,1
Bifidobacteria,end stage renal disease,decrease,27640125,Bifidobacteria showed a significant decrease in peritoneal dialysis and transplant patients compared to controls,Uremic toxins such as p-cresyl sulfate and indoxyl sulfate are associated with increased systemic inflammation and cardiovascular disease in end stage renal disease patients. These toxins are produced by altered intestinal microbiota and poorly cleared by dialysis.,1
Clostridium aminophilum,obesity,increase,27658722,Highly correlated with obesity phenotypes and associated bacteria,,1
probiotics and Garcinia cambogia extract,obesity,decrease,27658722,Attenuated weight gain and adipocyte size in HFD-fed mice,,1
Verrucomicrobia,intestinal inflammation,increase,27659481,Ahr−/− mice showed increased Verrucomicrobia abundance and inflammatory tone,"AHR deficiency leads to increased IL-22 expression, which influences epithelial barrier integrity and microbial homeostasis",1
segmented filamentous bacteria,intestinal inflammation,increase,27659481,Ahr−/− mice exhibited changes in segmented filamentous bacteria abundance associated with inflammatory tone,"AHR deficiency leads to increased IL-22 expression, which influences epithelial barrier integrity and microbial homeostasis",1
Bilophila,adenomatous polyps,increase,27672054,"Significantly more abundant in patients with adenomas, associated with increased bile acid production","Pro-inflammatory bacteria (e.g., Mogibacterium) and genotoxic metabolites (e.g., H2S and secondary bile acids) may contribute to adenoma development through inflammatory and mutagenic pathways",1
Desulfovibrio,adenomatous polyps,increase,27672054,"Significantly more abundant in patients with adenomas, may produce genotoxic metabolites like H2S","Pro-inflammatory bacteria (e.g., Mogibacterium) and genotoxic metabolites (e.g., H2S and secondary bile acids) may contribute to adenoma development through inflammatory and mutagenic pathways",1
Mogibacterium,adenomatous polyps,increase,27672054,Pro-inflammatory bacteria significantly more abundant in patients with adenomas,"Pro-inflammatory bacteria (e.g., Mogibacterium) and genotoxic metabolites (e.g., H2S and secondary bile acids) may contribute to adenoma development through inflammatory and mutagenic pathways",1
Veillonella,adenomatous polyps,decrease,27672054,Greater abundance in patients without adenomas,"Pro-inflammatory bacteria (e.g., Mogibacterium) and genotoxic metabolites (e.g., H2S and secondary bile acids) may contribute to adenoma development through inflammatory and mutagenic pathways",1
Clostridia,adenomatous polyps,decrease,27672054,Firmicutes order significantly more abundant in patients without adenomas,"Pro-inflammatory bacteria (e.g., Mogibacterium) and genotoxic metabolites (e.g., H2S and secondary bile acids) may contribute to adenoma development through inflammatory and mutagenic pathways",1
Bifidobacteriales,adenomatous polyps,decrease,27672054,Actinobacteria family significantly more abundant in patients without adenomas,"Pro-inflammatory bacteria (e.g., Mogibacterium) and genotoxic metabolites (e.g., H2S and secondary bile acids) may contribute to adenoma development through inflammatory and mutagenic pathways",1
Bacteroides,Amyotrophic lateral sclerosis,decrease,27703453,Average ratio of Bacteroides in ALS patients compared to healthy people was 0.78,"The study suggests that gut microbiota may influence ALS through the gut-brain axis, involving metabolites like short-chain fatty acids (SCFAs) and lipopolysaccharide (LPS), which can affect the central nervous system. However, specific cytokines or signaling molecules directly linking microbial changes to ALS pathogenesis were not detailed in the provided text.",1
Faecalibacterium,Amyotrophic lateral sclerosis,increase,27703453,Average ratio of Faecalibacterium in ALS patients compared to healthy people was 2.18,"The study suggests that gut microbiota may influence ALS through the gut-brain axis, involving metabolites like short-chain fatty acids (SCFAs) and lipopolysaccharide (LPS), which can affect the central nervous system. However, specific cytokines or signaling molecules directly linking microbial changes to ALS pathogenesis were not detailed in the provided text.",1
Anaerostipes,Amyotrophic lateral sclerosis,increase,27703453,Average ratio of Anaerostipes in ALS patients compared to healthy people was 3.41,"The study suggests that gut microbiota may influence ALS through the gut-brain axis, involving metabolites like short-chain fatty acids (SCFAs) and lipopolysaccharide (LPS), which can affect the central nervous system. However, specific cytokines or signaling molecules directly linking microbial changes to ALS pathogenesis were not detailed in the provided text.",1
Prevotella,Amyotrophic lateral sclerosis,decrease,27703453,Average ratio of Prevotella in ALS patients compared to healthy people was 0.35,"The study suggests that gut microbiota may influence ALS through the gut-brain axis, involving metabolites like short-chain fatty acids (SCFAs) and lipopolysaccharide (LPS), which can affect the central nervous system. However, specific cytokines or signaling molecules directly linking microbial changes to ALS pathogenesis were not detailed in the provided text.",1
Escherichia,Amyotrophic lateral sclerosis,decrease,27703453,Average ratio of Escherichia in ALS patients compared to healthy people was 0.79,"The study suggests that gut microbiota may influence ALS through the gut-brain axis, involving metabolites like short-chain fatty acids (SCFAs) and lipopolysaccharide (LPS), which can affect the central nervous system. However, specific cytokines or signaling molecules directly linking microbial changes to ALS pathogenesis were not detailed in the provided text.",1
Lachnospira,Amyotrophic lateral sclerosis,increase,27703453,Average ratio of Lachnospira in ALS patients compared to healthy people was 13.07,"The study suggests that gut microbiota may influence ALS through the gut-brain axis, involving metabolites like short-chain fatty acids (SCFAs) and lipopolysaccharide (LPS), which can affect the central nervous system. However, specific cytokines or signaling molecules directly linking microbial changes to ALS pathogenesis were not detailed in the provided text.",1
Dorea,Amyotrophic lateral sclerosis,increase,27703453,Significant increase in genus Dorea (harmful microorganisms) in ALS patients,"The study suggests that gut microbiota may influence ALS through the gut-brain axis, involving metabolites like short-chain fatty acids (SCFAs) and lipopolysaccharide (LPS), which can affect the central nervous system. However, specific cytokines or signaling molecules directly linking microbial changes to ALS pathogenesis were not detailed in the provided text.",1
Oscillibacter,Amyotrophic lateral sclerosis,decrease,27703453,Significant reduction in genus Oscillibacter (beneficial microorganisms) in ALS patients,"The study suggests that gut microbiota may influence ALS through the gut-brain axis, involving metabolites like short-chain fatty acids (SCFAs) and lipopolysaccharide (LPS), which can affect the central nervous system. However, specific cytokines or signaling molecules directly linking microbial changes to ALS pathogenesis were not detailed in the provided text.",1
Lachnospiraceae,Amyotrophic lateral sclerosis,decrease,27703453,Significant reduction in genus Lachnospiraceae (beneficial microorganisms) in ALS patients,"The study suggests that gut microbiota may influence ALS through the gut-brain axis, involving metabolites like short-chain fatty acids (SCFAs) and lipopolysaccharide (LPS), which can affect the central nervous system. However, specific cytokines or signaling molecules directly linking microbial changes to ALS pathogenesis were not detailed in the provided text.",1
Roseburia species,type 2 diabetes,decrease,27738970,Increase in Roseburia species was observed among those achieving diabetes remission after both RYGB and SG surgeries,Inflammatory markers (MCP-1 and TNF-alpha) were measured but their specific relationship with microbial changes and diabetes remission was not detailed in the provided text,1
Desulfovibrio species,type 2 diabetes,increase,27738970,Those with persistent diabetes post-operatively had higher Desulfovibrio species pre-operatively,Inflammatory markers (MCP-1 and TNF-alpha) were measured but their specific relationship with microbial changes and diabetes remission was not detailed in the provided text,1
Actinobacteria,type 2 diabetes,decrease,27738970,"RYGB resulted in increased Actinobacteria phyla, which was associated with diabetes remission",Inflammatory markers (MCP-1 and TNF-alpha) were measured but their specific relationship with microbial changes and diabetes remission was not detailed in the provided text,1
Bacteroidetes,type 2 diabetes,increase,27738970; 30002323,"SG resulted in increased Bacteroidetes phyla, which was associated with diabetes remission || Increase in Bacteroidetes abundance in vegetarian diet associated with improved metabolic markers",Inflammatory markers (MCP-1 and TNF-alpha) were measured but their specific relationship with microbial changes and diabetes remission was not detailed in the provided text,2
Prevotella,major depressive disorder,increase,27741466,Higher proportion in fecal microbial communities of MDD patients,,1
Klebsiella,major depressive disorder,increase,27741466,Higher proportion in fecal microbial communities of MDD patients,,1
Streptococcus,major depressive disorder,increase,27741466,Higher proportion in fecal microbial communities of MDD patients,,1
Clostridium XI,major depressive disorder,increase,27741466,Higher proportion in fecal microbial communities of MDD patients,,1
Bacteroidetes,major depressive disorder,decrease,27741466,Lower proportion in fecal microbial communities of MDD patients,,1
Porphyromonas gingivalis,pancreatic cancer,increase,27742762,Carriage of Porphyromonas gingivalis was associated with higher risk of pancreatic cancer (adjusted OR=1.60),,1
Aggregatibacter actinomycetemcomitans,pancreatic cancer,increase,27742762,Carriage of Aggregatibacter actinomycetemcomitans was associated with higher risk of pancreatic cancer (adjusted OR=2.20),,1
Fusobacteria,pancreatic cancer,decrease,27742762,Phylum Fusobacteria was associated with decreased pancreatic cancer risk (OR=0.94 per percent increase of relative abundance),,1
Leptotrichia,pancreatic cancer,decrease,27742762,Genus Leptotrichia was associated with decreased pancreatic cancer risk (OR=0.87 per percent increase of relative abundance),,1
Fusobacterium nucleatum,esophageal cancer,increase,27769987,F. nucleatum DNA positivity was significantly associated with shorter cancer-specific survival and aggressive tumor behavior,F. nucleatum activates chemokines such as CCL20 and is associated with the 'cytokine-cytokine receptor interaction' pathway in esophageal cancer tissues,1
Bifidobacterium,cardiovascular disease,decrease,27794201,"Moderate intake of red wine increases Bifidobacterium, which is associated with lower incidence of cardiovascular disease",,1
Lactobacillus,cardiovascular disease,decrease,27794201,"Moderate intake of red wine increases Lactobacillus, which is associated with lower incidence of cardiovascular disease",,1
Faecalibacterium prausnitzii,cardiovascular disease,decrease,27794201,"Moderate intake of red wine increases Faecalibacterium prausnitzii, which is associated with lower incidence of cardiovascular disease",,1
Roseburia,cardiovascular disease,decrease,27794201; 31848609,"Moderate intake of red wine increases Roseburia, which is associated with lower incidence of cardiovascular disease || Enriched following walnut diet (WD) and walnut fatty acid-matched diet (WFMD), inversely correlated with cardiovascular risk factors",,2
Escherichia coli,cardiovascular disease,increase,27794201,"Moderate intake of red wine decreases Escherichia coli, which is associated with higher incidence of cardiovascular disease",,1
Enterobacter cloacae,cardiovascular disease,increase,27794201,"Moderate intake of red wine decreases Enterobacter cloacae, which is associated with higher incidence of cardiovascular disease",,1
Parabacteroides distasonis,obesity,increase,27796317,"Higher abundance in male mice, which are more susceptible to obesity when transplanted with gut microbiota from obese donors","Butyrate attenuates gut inflammation by multiple mechanisms, and its levels are influenced by sex-specific responses to diet and probiotics",1
Blautia faecis,obesity,increase,27796317,"Higher abundance in male mice, which are more susceptible to obesity when transplanted with gut microbiota from obese donors","Butyrate attenuates gut inflammation by multiple mechanisms, and its levels are influenced by sex-specific responses to diet and probiotics",1
Clostridium groups,type 1 diabetes,decrease,27796317,"Higher abundance in female mice, which are protected from type 1 diabetes by gut microbiota from male mice","Butyrate attenuates gut inflammation by multiple mechanisms, and its levels are influenced by sex-specific responses to diet and probiotics",1
Escherichia fergusonii,type 1 diabetes,decrease,27796317,"Higher abundance in female mice, which are protected from type 1 diabetes by gut microbiota from male mice","Butyrate attenuates gut inflammation by multiple mechanisms, and its levels are influenced by sex-specific responses to diet and probiotics",1
Shigella sonnei,type 1 diabetes,decrease,27796317,"Higher abundance in female mice, which are protected from type 1 diabetes by gut microbiota from male mice","Butyrate attenuates gut inflammation by multiple mechanisms, and its levels are influenced by sex-specific responses to diet and probiotics",1
Bacteroides thetaiotaomicron,metabolic syndrome,decrease,27796317,"Higher abundance in males, associated with improved insulin sensitivity when transplanted from lean donors","Butyrate attenuates gut inflammation by multiple mechanisms, and its levels are influenced by sex-specific responses to diet and probiotics",1
Psathyrellaceae,Crohn disease,increase,27811291,Significantly abundant in CD patients (p=0.01),,1
Cortinariaceae,Crohn disease,increase,27811291,Significantly abundant in CD patients (p=0.04),,1
Psathyrella,Crohn disease,increase,27811291,Significantly abundant in CD patients (p=0.004),,1
Gymnopilus,Crohn disease,increase,27811291,Significantly abundant in CD patients (p=0.03),,1
Monilinia,Crohn disease,decrease,27811291,Significantly depleted in CD patients (p=0.03),,1
Leotiomycetes,Crohn disease,decrease,27811291,"Depleted in CD patients (p=0.06, not statistically significant)",,1
Helotiales,Crohn disease,decrease,27811291,"Depleted in CD patients (p=0.08, not statistically significant)",,1
Sclerotiniaceae,Crohn disease,decrease,27811291,"Depleted in CD patients (p=0.07, not statistically significant)",,1
Megasphaera,eczema,decrease,27812181,Enriched in healthy infants compared to those with eczema,,1
Haemophilus,eczema,decrease,27812181,Enriched in healthy infants compared to those with eczema,,1
Streptococcus,eczema,decrease,27812181,Enriched in healthy infants compared to those with eczema,,1
EscherichiaShigella,eczema,increase,27812181,Enriched in infants with eczema compared to healthy controls,,1
Veillonella,eczema,increase,27812181,Enriched in infants with eczema compared to healthy controls,,1
Faecalibacterium,eczema,increase,27812181,Enriched in infants with eczema compared to healthy controls,,1
Lachnospiraceae incertae sedis,eczema,increase,27812181,Enriched in infants with eczema compared to healthy controls,,1
Clostridium XlVa,eczema,increase,27812181,Enriched in infants with eczema compared to healthy controls,,1
Faecalibacterium prausnitzii,eczema,increase,27812181,"Known to be associated with atopy or inflammation, enriched in infants with eczema",,1
Ruminococcus gnavus,eczema,increase,27812181,"Known to be associated with atopy or inflammation, enriched in infants with eczema",,1
Akkermansia muciniphila,eczema,increase,27812181,"Higher abundance might reduce the integrity of intestinal barrier function, increasing eczema risk",,1
Bacteroides fragilis,eczema,decrease,27812181,"Known for anti-inflammatory properties, less abundant in infants with eczema",,1
Streptococcus salivarius,eczema,decrease,27812181,"Known for anti-inflammatory properties, less abundant in infants with eczema",,1
Fusicatenibacter saccharivorans,ulcerative colitis,decrease,27824645,F. saccharivorans was decreased in active UC patients and increased in quiescent. The administration of F. saccharivorans improved murine colitis.,"F. saccharivorans induced interleukin 10 production by lamina propria mononuclear cells from colitis model mice and UC patients, suggesting its role in suppressing intestinal inflammation.",1
intestinal microbiota,inflammatory bowel disease,increase,27824648,"Dysbiosis of the gut microbiota is implicated in the pathogenesis of IBD, with decreased biodiversity and abnormal compositions observed in patients with IBD.","The IL-23/Th17 pathway is activated in Winnie mice, leading to the development of spontaneous chronic intestinal inflammation.",1
intestinal microbiota,Crohn's disease,increase,27824648,"IBD, including Crohn's disease, occurs due to inappropriate activation of intestinal mucosal immunity and an imbalanced mucosal immune response to commensal bacteria in genetically susceptible hosts.","The IL-23/Th17 pathway is activated in Winnie mice, leading to the development of spontaneous chronic intestinal inflammation.",1
Eubacterium rectale,ulcerative colitis,decrease,27833384,Numbers were reduced in UC patients compared to healthy controls,,1
Clostridium perfringens,ulcerative colitis,increase,27833384,"Increased in feces of UC patients, suggesting a role in exacerbation",,1
Clostridium perfringens,pouchitis,increase,27833384,"Increased in feces of pouchitis patients, suggesting a role in exacerbation",,1
Bacteroides vulgatus,ulcerative colitis,increase,27833384,Emergence in UC patients before IPAA is related to pouchitis,,1
Blautia,ulcerative colitis,decrease,27833384,Deficiency in UC patients before IPAA is related to pouchitis,,1
Clostridium difficile,nosocomial infections,increase,27837233,A low-diversity community with limited resilience allows pathogens like Clostridium difficile to grow unrestrictedly,,1
vancomycin-resistant enterococci,nosocomial infections,increase,27837233,A low-diversity community with limited resilience allows pathogens like vancomycin-resistant enterococci to grow unrestrictedly,,1
Bacteroides,Enthesitis related Arthritis,increase,27861762,Bacteroides bacteria in the gut appear to cause spondyloarthropathy in a HLA-B27 transgenic rat model,Clostridium enhances Th17 immune response in experimental autoimmune arthritis. Bacteroides fragilis induces interleukin-10 producing regulatory T-cell response in experimental autoimmune encephalomyelitis.,1
Enterobacteriaceae,Enthesitis related Arthritis,increase,27861762,Enterobacteriaceae were more abundant in ERA patients compared to healthy controls,Clostridium enhances Th17 immune response in experimental autoimmune arthritis. Bacteroides fragilis induces interleukin-10 producing regulatory T-cell response in experimental autoimmune encephalomyelitis.,1
Klebsiella,Enthesitis related Arthritis,increase,27861762,Klebsiella was overrepresented in ERA patients,Clostridium enhances Th17 immune response in experimental autoimmune arthritis. Bacteroides fragilis induces interleukin-10 producing regulatory T-cell response in experimental autoimmune encephalomyelitis.,1
Prevotella,Enthesitis related Arthritis,decrease,27861762,Prevotella was under-represented in ERA patients,Clostridium enhances Th17 immune response in experimental autoimmune arthritis. Bacteroides fragilis induces interleukin-10 producing regulatory T-cell response in experimental autoimmune encephalomyelitis.,1
Prevotellaceae,Enthesitis related Arthritis,decrease,27861762,Prevotellaceae were less abundant in ERA patients compared to healthy controls,Clostridium enhances Th17 immune response in experimental autoimmune arthritis. Bacteroides fragilis induces interleukin-10 producing regulatory T-cell response in experimental autoimmune encephalomyelitis.,1
Clostridium,Experimental Autoimmune Arthritis,increase,27861762,Mono-colonization of the intestine with segmented filamentous bacteria belonging to genus Clostridium enhances Th17 immune response and results in flare of autoimmune features,Clostridium enhances Th17 immune response in experimental autoimmune arthritis. Bacteroides fragilis induces interleukin-10 producing regulatory T-cell response in experimental autoimmune encephalomyelitis.,1
Bacteroides fragilis,Experimental Autoimmune Encephalomyelitis,decrease,27861762,Polysaccharide-A positive Bacteroides fragilis attenuates the manifestations through induction of tolerogenic dendritic cells and interleukin-10 producing regulatory T-cell response,Clostridium enhances Th17 immune response in experimental autoimmune arthritis. Bacteroides fragilis induces interleukin-10 producing regulatory T-cell response in experimental autoimmune encephalomyelitis.,1
Atopobium parvulum,Crohn's disease,increase,27876802,A. parvulum controls the central hub of H2S producers and induces pancolitis in colitis-susceptible interleukin-10-deficient mice,"Interleukin-10 deficiency is associated with increased susceptibility to colitis induced by A. parvulum. H2S microbial producers are increased in CD patients, while mitochondrial proteins implicated in H2S detoxification are downregulated.",1
Clostridium XIVa,Crohn's disease,decrease,27876802,Decreased prevalence of protective microorganisms like Clostridium XIVa in IBD patients,"Interleukin-10 deficiency is associated with increased susceptibility to colitis induced by A. parvulum. H2S microbial producers are increased in CD patients, while mitochondrial proteins implicated in H2S detoxification are downregulated.",1
Clostridium IV,Crohn's disease,decrease,27876802,Decreased prevalence of protective microorganisms like Clostridium IV in IBD patients,"Interleukin-10 deficiency is associated with increased susceptibility to colitis induced by A. parvulum. H2S microbial producers are increased in CD patients, while mitochondrial proteins implicated in H2S detoxification are downregulated.",1
Atopobium vaginae,endometrial cancer,increase,27884207,"Associated with disease status, especially when combined with high vaginal pH (>4.5)","The study suggests a potential microbiome role in the inflammatory profile associated with endometrial cancer manifestation, though specific cytokines are not mentioned in the provided text.",1
Porphyromonas sp.,endometrial cancer,increase,27884207,"Uncultured representative (99% match to P. somerae) associated with disease status, especially when combined with high vaginal pH (>4.5)","The study suggests a potential microbiome role in the inflammatory profile associated with endometrial cancer manifestation, though specific cytokines are not mentioned in the provided text.",1
Firmicutes,endometrial cancer,increase,27884207,"Several taxa (Anaerostipes, Dialister, Peptoniphilus, Ruminococcus, Anaerotruncus) were significantly enriched in endometrial cancer cohort","The study suggests a potential microbiome role in the inflammatory profile associated with endometrial cancer manifestation, though specific cytokines are not mentioned in the provided text.",1
Spirochaetes,endometrial cancer,increase,27884207,Treponema was significantly enriched in endometrial cancer cohort,"The study suggests a potential microbiome role in the inflammatory profile associated with endometrial cancer manifestation, though specific cytokines are not mentioned in the provided text.",1
Actinobacteria,endometrial cancer,increase,27884207,Atopobium was significantly enriched in endometrial cancer cohort,"The study suggests a potential microbiome role in the inflammatory profile associated with endometrial cancer manifestation, though specific cytokines are not mentioned in the provided text.",1
Bacteroidetes,endometrial cancer,increase,27884207,Bacteroides and Porphyromonas were significantly enriched in endometrial cancer cohort,"The study suggests a potential microbiome role in the inflammatory profile associated with endometrial cancer manifestation, though specific cytokines are not mentioned in the provided text.",1
Proteobacteria,endometrial cancer,increase,27884207,Arthrospira was significantly enriched in endometrial cancer cohort,"The study suggests a potential microbiome role in the inflammatory profile associated with endometrial cancer manifestation, though specific cytokines are not mentioned in the provided text.",1
Prevotellaceae,inflammatory bowel disease,decrease,27886121,Reduction in Prevotellaceae species observed in IL-10 deficient mice treated with sodium butyrate,"Sodium butyrate decreases levels of TNF-alpha and IL-6 in IL-10 deficient mice, ameliorating colitis",1
gut microbiota from dusp6 deficient mice,diet-induced obesity,decrease,27892926,Faecal microbiota transplantation from dusp6-deficient mice reduced weight gain and increased energy expenditure in recipient mice on a high-fat diet,"Dusp6 deficiency modulates the peroxisome proliferator-activated receptor gamma (Pparγ) pathway and tight-junction genes, influencing intestinal barrier functions and mucosal immunity related to microbiome homeostasis",1
Prevotella,ulcerative colitis,decrease,27903830; 29462845,"Sugar consumption reduces Prevotella levels, which may be linked to gastrointestinal diseases || Decreased abundance of the genus Prevotella at the inflamed site of UC patients compared to the corresponding site of non-IBD controls",,2
Lachnospiraceae incertae sedis,irritable bowel syndrome,decrease,27903830,"Sugar consumption reduces Lachnospiraceae incertae sedis levels, which may be linked to gastrointestinal diseases",,1
Bacteroides,insulin resistance,increase,27903830,"Sugar consumption elevates Bacteroides levels, which may be linked to metabolic pathologies",,1
Alistipes,obesity,increase,27903830; 30611080,"Sugar consumption elevates Alistipes levels, which may be linked to metabolic pathologies || High-fat and high-sucrose diets increased conditional pathogenic bacteria including Alistipes",,2
Lactobacillus,autism,increase,27903830,"Sugar consumption elevates Lactobacillus levels, which may be linked to neurological disorders",,1
Clostridium sensu stricto,Parkinson disease,increase,27903830,"Sugar consumption elevates Clostridium sensu stricto levels, which may be linked to neurological disorders",,1
Bifidobacteriaceae,Alzheimer disease,increase,27903830,"Sugar consumption elevates Bifidobacteriaceae levels, which may be linked to neurological disorders",,1
Parasutterella,gastrointestinal diseases,increase,27903830,"Sugar consumption elevates Parasutterella levels, which may be linked to gastrointestinal diseases",,1
Saccharomyces boulardii CNCM I745,antibiotic-associated diarrhea,decrease,27973989,SB supplementation reduces antibiotic-associated diarrhea scores and mitigates antibiotic-induced microbiota changes,,1
Saccharomyces boulardii CNCM I745,Clostridium difficile infection,decrease,27973989,SB may be beneficial for the prevention of recurrent CDI by enhancing mucosal immune function and interfering with bacterial adhesion,,1
Amoxicillin-Clavulanate,antibiotic-associated diarrhea,increase,27973989,Antibiotic treatment induces dysbiosis and increases the risk of AAD,,1
Amoxicillin-Clavulanate,Clostridium difficile infection,increase,27973989,"Antibiotic use disrupts normal gut microbiota, increasing vulnerability to CDI",,1
Veillonella,lung cancer,increase,27987594; 31492894; 32541778,"Relative abundance was significantly increased in patients with lung cancer compared to benign mass-like lesions || In LC, a Firmicutes switch was suggested in result of augmented Veillonella prevalence || Noted as possible lung cancer biomarkers","Mycobacterium tuberculosis induces inflammatory markers and causes significant alterations in lung tissues, potentially contributing to lung cancer pathogenesis || Commensal bacteria have a direct effect on the Th17-dependent pathway and calcineurin expression, which may influence lung cancer development",3
Megasphaera,lung cancer,increase,27987594; 31492894; 32541778,"Relative abundance was significantly increased in patients with lung cancer compared to benign mass-like lesions || In LC, a Firmicutes switch was suggested in result of augmented Megasphaera prevalence || Noted as possible lung cancer biomarkers","Mycobacterium tuberculosis induces inflammatory markers and causes significant alterations in lung tissues, potentially contributing to lung cancer pathogenesis || Commensal bacteria have a direct effect on the Th17-dependent pathway and calcineurin expression, which may influence lung cancer development",3
Firmicutes,lung cancer,increase,27987594,Relative abundance of the phylum was significantly increased in patients with lung cancer,,1
TM7,lung cancer,increase,27987594,Relative abundance of the phylum was significantly increased in patients with lung cancer,,1
human papillomavirus,cervical cancer,increase,27987594,Known association with cervical cancer development,,1
Chlamydia trachomatis,cervical cancer,increase,27987594,Known association with cervical cancer development,,1
Mycobacterium tuberculosis,lung cancer,increase,27987594; 31492894; 32541778,"Meta-analysis showed it as a significant risk factor for lung cancer || Hypothesized as a LC agent, once it induces inflammatory markers and causes significant alterations in lung tissues || Changes in lung microbiota lead to predominance of these species","Mycobacterium tuberculosis induces inflammatory markers and causes significant alterations in lung tissues, potentially contributing to lung cancer pathogenesis || Commensal bacteria have a direct effect on the Th17-dependent pathway and calcineurin expression, which may influence lung cancer development",3
Granulicatella,lung cancer,increase,27987594; 30942501; 31492894; 32541778,"More predominant in sputum samples of never-smoked lung cancer patients || Enriched in lung cancer cases compared to controls || In LC, a Firmicutes switch was suggested in result of augmented Granulicatella prevalence || Increased risk of developing lung cancer","Mycobacterium tuberculosis induces inflammatory markers and causes significant alterations in lung tissues, potentially contributing to lung cancer pathogenesis || Commensal bacteria have a direct effect on the Th17-dependent pathway and calcineurin expression, which may influence lung cancer development",4
